Size, Seq, Par, Libc
100, 0.000036, 0.160956, 0.000050
100, 0.000036, 0.051278, 0.000049
100, 0.000034, 0.084931, 0.000048
100, 0.000034, 0.108120, 0.000043
100, 0.000031, 0.103765, 0.000043
100, 0.000031, 0.090981, 0.000044
100, 0.000033, 0.063678, 0.000043
100, 0.000030, 0.078885, 0.000044
100, 0.000031, 0.109235, 0.000042
100, 0.000030, 0.073135, 0.000043
100, 0.000031, 0.099800, 0.000044
100, 0.000030, 0.085761, 0.000042
100, 0.000032, 0.106702, 0.000044
100, 0.000034, 0.091527, 0.000044
100, 0.000033, 0.087547, 0.000071
100, 0.000034, 0.105446, 0.000046
100, 0.000034, 0.118916, 0.000046
100, 0.000034, 0.114507, 0.000045
100, 0.000033, 0.105071, 0.000043
100, 0.000033, 0.088997, 0.000042
100, 0.000034, 0.109657, 0.000043
100, 0.000034, 0.109297, 0.000045
100, 0.000034, 0.084281, 0.000044
100, 0.000035, 0.087033, 0.000044
100, 0.000034, 0.054706, 0.000044
100, 0.000034, 0.050526, 0.000044
100, 0.000034, 0.062864, 0.000042
100, 0.000034, 0.051530, 0.000044
100, 0.000034, 0.059875, 0.000045
100, 0.000034, 0.069487, 0.000044
100, 0.000034, 0.055661, 0.000043
100, 0.000035, 0.063593, 0.000044
100, 0.000035, 0.057198, 0.000043
100, 0.000034, 0.051913, 0.000044
100, 0.000034, 0.065021, 0.000044
100, 0.000035, 0.068749, 0.000045
100, 0.000034, 0.047915, 0.000043
100, 0.000033, 0.068965, 0.000045
100, 0.000031, 0.041853, 0.000042
100, 0.000032, 0.035078, 0.000044
100, 0.000032, 0.048898, 0.000043
100, 0.000033, 0.065144, 0.000045
100, 0.000032, 0.070778, 0.000046
100, 0.000032, 0.028729, 0.000043
100, 0.000033, 0.050431, 0.000043
100, 0.000038, 0.053541, 0.000044
100, 0.000032, 0.077189, 0.000044
100, 0.000032, 0.045100, 0.000046
100, 0.000032, 0.036228, 0.000042
100, 0.000033, 0.055364, 0.000043
100, 0.000032, 0.023262, 0.000042
100, 0.000032, 0.065691, 0.000043
100, 0.000032, 0.063646, 0.000045
100, 0.000032, 0.075242, 0.000046
100, 0.000031, 0.046890, 0.000043
100, 0.000031, 0.039030, 0.000045
100, 0.000032, 0.102873, 0.000042
100, 0.000031, 0.076033, 0.000044
100, 0.000031, 0.081887, 0.000043
100, 0.000032, 0.090489, 0.000045
100, 0.000031, 0.108201, 0.000043
100, 0.000031, 0.063237, 0.000044
100, 0.000030, 0.104940, 0.000044
100, 0.000033, 0.103746, 0.000042
100, 0.000032, 0.122010, 0.000045
100, 0.000032, 0.095843, 0.000043
100, 0.000030, 0.096234, 0.000044
100, 0.000032, 0.109127, 0.000045
100, 0.000031, 0.117118, 0.000044
100, 0.000031, 0.099820, 0.000045
100, 0.000031, 0.118368, 0.000044
100, 0.000031, 0.096607, 0.000044
100, 0.000031, 0.088147, 0.000045
100, 0.000031, 0.089815, 0.000044
100, 0.000033, 0.148302, 0.000067
100, 0.000032, 0.071711, 0.000046
100, 0.000031, 0.084464, 0.000042
100, 0.000031, 0.081555, 0.000043
100, 0.000028, 0.058336, 0.000042
100, 0.000031, 0.093813, 0.000042
100, 0.000031, 0.075534, 0.000044
100, 0.000031, 0.096541, 0.000043
100, 0.000031, 0.107496, 0.000040
100, 0.000031, 0.075313, 0.000042
100, 0.000031, 0.106176, 0.000044
100, 0.000030, 0.114179, 0.000044
100, 0.000031, 0.043072, 0.000044
100, 0.000034, 0.114839, 0.000042
100, 0.000033, 0.086099, 0.000049
100, 0.000031, 0.081193, 0.000044
100, 0.000034, 0.085078, 0.000043
100, 0.000033, 0.065212, 0.000045
100, 0.000034, 0.077667, 0.000044
100, 0.000034, 0.086869, 0.000043
100, 0.000034, 0.095956, 0.000045
100, 0.000035, 0.058271, 0.000043
100, 0.000034, 0.096163, 0.000045
100, 0.000033, 0.091935, 0.000044
100, 0.000032, 0.103815, 0.000044
100, 0.000032, 0.116800, 0.000045
1000, 0.000416, 0.334222, 0.000602
1000, 0.000415, 0.381522, 0.000594
1000, 0.000418, 0.399221, 0.000586
1000, 0.000420, 0.266160, 0.000605
1000, 0.000419, 0.222909, 0.000594
1000, 0.000427, 0.327425, 0.000606
1000, 0.000414, 0.512556, 0.000590
1000, 0.000416, 0.503012, 0.000533
1000, 0.000371, 0.448913, 0.000547
1000, 0.000379, 0.432650, 0.000595
1000, 0.000415, 0.335879, 0.000582
1000, 0.000419, 0.379388, 0.000539
1000, 0.000415, 0.243477, 0.000589
1000, 0.000437, 0.325870, 0.000612
1000, 0.000410, 0.406440, 0.000532
1000, 0.000371, 0.433137, 0.000524
1000, 0.000377, 0.496466, 0.000539
1000, 0.000381, 0.419775, 0.000540
1000, 0.000374, 0.438695, 0.000592
1000, 0.000434, 0.426479, 0.000603
1000, 0.000418, 0.375547, 0.000606
1000, 0.000419, 0.332972, 0.000536
1000, 0.000382, 0.360173, 0.000589
1000, 0.000413, 0.289658, 0.000592
1000, 0.000418, 0.336432, 0.000586
1000, 0.000416, 0.400273, 0.000592
1000, 0.000409, 0.449172, 0.000581
1000, 0.000411, 0.430539, 0.000590
1000, 0.000437, 0.282499, 0.000639
1000, 0.000436, 0.362646, 0.000526
1000, 0.000393, 0.412488, 0.000594
1000, 0.000423, 0.355331, 0.000599
