Size, Seq, Par, Libc
100, 0.000036, 0.069119, 0.000058
100, 0.000036, 0.088262, 0.000047
100, 0.000036, 0.071579, 0.000049
100, 0.000036, 0.113957, 0.000049
100, 0.000036, 0.097712, 0.000044
100, 0.000031, 0.101094, 0.000044
100, 0.000031, 0.060177, 0.000047
100, 0.000036, 0.051095, 0.000046
100, 0.000035, 0.075432, 0.000043
100, 0.000032, 0.066181, 0.000043
1000, 0.000432, 0.401454, 0.000591
1000, 0.000407, 0.381079, 0.000589
1000, 0.000439, 0.444158, 0.000592
1000, 0.000408, 0.438577, 0.000590
1000, 0.000407, 0.456392, 0.000594
1000, 0.000416, 0.360862, 0.000576
1000, 0.000412, 0.480014, 0.000538
1000, 0.000370, 0.412310, 0.000593
1000, 0.000402, 0.431705, 0.000584
1000, 0.000395, 0.517989, 0.000541
10000, 0.004777, 1.177459, 0.004893
10000, 0.004765, 1.466581, 0.005442
10000, 0.005267, 0.531317, 0.004947
10000, 0.005181, 1.084926, 0.004999
10000, 0.004803, 1.698528, 0.004936
10000, 0.004866, 0.504368, 0.004928
10000, 0.004826, 0.497465, 0.004945
10000, 0.004741, 0.887288, 0.004972
10000, 0.004961, 0.664069, 0.005001
10000, 0.005010, 0.600885, 0.004983
1000000, 0.586805, 1.313507, 0.634701
1000000, 0.592805, 1.825962, 0.603592
1000000, 0.625191, 0.967806, 0.619396
1000000, 0.638096, 1.121832, 0.640268
1000000, 0.633123, 1.413292, 0.614370
1000000, 0.601649, 1.274471, 0.606517
1000000, 0.616171, 1.456612, 0.619662
1000000, 0.674890, 2.468189, 0.606226
1000000, 0.618954, 0.887563, 0.607307
1000000, 0.601903, 1.705862, 0.618205
5000000, 3.438939, 2.660127, 3.340658
5000000, 3.356008, 2.831178, 3.367670
5000000, 3.555561, 2.817936, 3.403901
5000000, 3.374216, 2.864111, 3.438369
5000000, 3.816757, 2.786480, 3.397441
5000000, 3.571767, 2.992382, 3.455213
5000000, 3.463208, 2.859371, 3.427531
5000000, 3.505527, 2.825000, 3.423683
5000000, 3.511661, 3.490711, 3.438959
5000000, 3.404348, 4.009164, 3.461815
