Size, Seq, Par, Libc
100, 0.000037, 0.162960, 0.000050
100, 0.000035, 0.094489, 0.000048
100, 0.000034, 0.085761, 0.000044
100, 0.000030, 0.077526, 0.000048
100, 0.000034, 0.077610, 0.000044
100, 0.000031, 0.122266, 0.000050
100, 0.000033, 0.081218, 0.000046
100, 0.000030, 0.057590, 0.000043
100, 0.000029, 0.058449, 0.000044
100, 0.000030, 0.088988, 0.000045
100, 0.000031, 0.078220, 0.000046
100, 0.000030, 0.065523, 0.000045
100, 0.000032, 0.109143, 0.000045
100, 0.000031, 0.059465, 0.000044
100, 0.000032, 0.091656, 0.000044
100, 0.000032, 0.088274, 0.000043
100, 0.000031, 0.099582, 0.000045
100, 0.000031, 0.102095, 0.000043
100, 0.000032, 0.086094, 0.000044
100, 0.000032, 0.102051, 0.000044
100, 0.000031, 0.094144, 0.000051
100, 0.000032, 0.107693, 0.000044
100, 0.000033, 0.110282, 0.000044
100, 0.000031, 0.090319, 0.000043
100, 0.000031, 0.108250, 0.000043
100, 0.000031, 0.106534, 0.000044
100, 0.000030, 0.064842, 0.000042
100, 0.000030, 0.106297, 0.000042
100, 0.000029, 0.101208, 0.000042
100, 0.000030, 0.109521, 0.000043
100, 0.000030, 0.112717, 0.000042
100, 0.000030, 0.097514, 0.000043
100, 0.000035, 0.063942, 0.000043
100, 0.000033, 0.105676, 0.000041
100, 0.000033, 0.100902, 0.000044
100, 0.000033, 0.120941, 0.000044
100, 0.000032, 0.086719, 0.000042
100, 0.000033, 0.111127, 0.000044
100, 0.000033, 0.099904, 0.000043
100, 0.000032, 0.103894, 0.000043
100, 0.000032, 0.087277, 0.000045
100, 0.000033, 0.105732, 0.000044
100, 0.000031, 0.083407, 0.000043
100, 0.000031, 0.118087, 0.000043
100, 0.000031, 0.084919, 0.000044
100, 0.000031, 0.103796, 0.000043
100, 0.000031, 0.060612, 0.000042
100, 0.000030, 0.074392, 0.000043
100, 0.000031, 0.079578, 0.000044
100, 0.000031, 0.085391, 0.000045
100, 0.000031, 0.093753, 0.000044
100, 0.000030, 0.068788, 0.000041
100, 0.000032, 0.091078, 0.000042
100, 0.000032, 0.071863, 0.000042
100, 0.000031, 0.053328, 0.000043
100, 0.000031, 0.072279, 0.000043
100, 0.000032, 0.079245, 0.000044
100, 0.000030, 0.047757, 0.000044
100, 0.000032, 0.060580, 0.000045
100, 0.000032, 0.041479, 0.000043
100, 0.000031, 0.038299, 0.000041
100, 0.000032, 0.043830, 0.000043
100, 0.000032, 0.075660, 0.000044
100, 0.000031, 0.060169, 0.000042
100, 0.000031, 0.061853, 0.000043
100, 0.000032, 0.050887, 0.000040
100, 0.000032, 0.069889, 0.000042
100, 0.000032, 0.062822, 0.000043
100, 0.000032, 0.088753, 0.000050
100, 0.000032, 0.067174, 0.000044
100, 0.000032, 0.074384, 0.000044
100, 0.000032, 0.098009, 0.000043
100, 0.000033, 0.059981, 0.000043
100, 0.000032, 0.074065, 0.000043
100, 0.000032, 0.094200, 0.000045
100, 0.000032, 0.094741, 0.000043
100, 0.000032, 0.039465, 0.000044
100, 0.000032, 0.056810, 0.000044
100, 0.000031, 0.055090, 0.000044
100, 0.000032, 0.085696, 0.000045
100, 0.000033, 0.068024, 0.000053
100, 0.000032, 0.066306, 0.000042
100, 0.000034, 0.057954, 0.000042
100, 0.000033, 0.113716, 0.000044
100, 0.000033, 0.100733, 0.000042
100, 0.000033, 0.092684, 0.000044
100, 0.000033, 0.103558, 0.000044
100, 0.000032, 0.097021, 0.000044
100, 0.000033, 0.095225, 0.000042
100, 0.000030, 0.078604, 0.000046
100, 0.000033, 0.122074, 0.000046
100, 0.000033, 0.106895, 0.000044
100, 0.000034, 0.103933, 0.000043
100, 0.000030, 0.079897, 0.000043
100, 0.000030, 0.072441, 0.000042
100, 0.000030, 0.083550, 0.000039
100, 0.000026, 0.070782, 0.000044
100, 0.000031, 0.075404, 0.000041
100, 0.000030, 0.051698, 0.000045
100, 0.000030, 0.060028, 0.000043
1000, 0.000409, 0.334644, 0.000591
1000, 0.000419, 0.301691, 0.000533
1000, 0.000399, 0.348840, 0.000581
1000, 0.000444, 0.350084, 0.000584
1000, 0.000446, 0.322014, 0.000589
1000, 0.000388, 0.351553, 0.000540
1000, 0.000411, 0.294680, 0.000587
1000, 0.000417, 0.254352, 0.000531
1000, 0.000380, 0.409790, 0.000548
1000, 0.000374, 0.364212, 0.000588
1000, 0.000423, 0.434836, 0.000627
1000, 0.000421, 0.389938, 0.000551
1000, 0.000408, 0.433635, 0.000527
1000, 0.000372, 0.401561, 0.000528
1000, 0.000372, 0.469689, 0.000555
1000, 0.000374, 0.318675, 0.000590
1000, 0.000413, 0.327465, 0.000550
1000, 0.000372, 0.205749, 0.000593
1000, 0.000414, 0.355393, 0.000535
1000, 0.000377, 0.398617, 0.000530
1000, 0.000374, 0.395678, 0.000528
1000, 0.000375, 0.154334, 0.000595
1000, 0.000375, 0.299072, 0.000527
1000, 0.000378, 0.283196, 0.000597
1000, 0.000423, 0.277234, 0.000557
1000, 0.000383, 0.419272, 0.000541
1000, 0.000383, 0.408965, 0.000596
1000, 0.000425, 0.449977, 0.000590
1000, 0.000397, 0.332383, 0.000546
1000, 0.000377, 0.351089, 0.000538
1000, 0.000364, 0.437166, 0.000537
1000, 0.000368, 0.460425, 0.000588
1000, 0.000428, 0.337674, 0.000604
1000, 0.000427, 0.429529, 0.000539
1000, 0.000385, 0.358742, 0.000534
1000, 0.000387, 0.371729, 0.000540
1000, 0.000416, 0.377326, 0.000600
1000, 0.000429, 0.331719, 0.000541
1000, 0.000406, 0.401887, 0.000533
1000, 0.000369, 0.453732, 0.000537
1000, 0.000369, 0.373263, 0.000617
1000, 0.000379, 0.357775, 0.000587
1000, 0.000412, 0.377126, 0.000528
1000, 0.000408, 0.438395, 0.000537
1000, 0.000386, 0.416882, 0.000539
1000, 0.000376, 0.344549, 0.000534
1000, 0.000374, 0.315497, 0.000535
1000, 0.000385, 0.362665, 0.000532
1000, 0.000367, 0.537461, 0.000562
1000, 0.000368, 0.488092, 0.000532
1000, 0.000377, 0.421494, 0.000559
1000, 0.000376, 0.521333, 0.000533
1000, 0.000383, 0.190450, 0.000588
1000, 0.000412, 0.291177, 0.000606
1000, 0.000376, 0.404136, 0.000567
1000, 0.000398, 0.295994, 0.000550
1000, 0.000407, 0.291969, 0.000536
1000, 0.000408, 0.343266, 0.000600
1000, 0.000505, 0.333747, 0.000540
1000, 0.000372, 0.357348, 0.000535
1000, 0.000371, 0.416925, 0.000533
1000, 0.000370, 0.383631, 0.000558
1000, 0.000370, 0.367390, 0.000610
1000, 0.000415, 0.429721, 0.000534
1000, 0.000388, 0.420439, 0.000544
1000, 0.000417, 0.363465, 0.000549
1000, 0.000366, 0.426367, 0.000539
1000, 0.000366, 0.441780, 0.000580
1000, 0.000414, 0.433566, 0.000606
1000, 0.000427, 0.288219, 0.000544
1000, 0.000378, 0.384795, 0.000539
1000, 0.000378, 0.313863, 0.000586
1000, 0.000419, 0.311846, 0.000571
1000, 0.000376, 0.250080, 0.000608
1000, 0.000463, 0.318114, 0.000525
1000, 0.000374, 0.309072, 0.000526
1000, 0.000374, 0.281873, 0.000616
1000, 0.000415, 0.319161, 0.000529
1000, 0.000377, 0.441764, 0.000544
1000, 0.000374, 0.329392, 0.000629
1000, 0.000418, 0.432535, 0.000622
1000, 0.000409, 0.391945, 0.000527
1000, 0.000372, 0.408322, 0.000530
1000, 0.000374, 0.399452, 0.000531
1000, 0.000379, 0.389856, 0.000581
1000, 0.000413, 0.377802, 0.000604
1000, 0.000413, 0.301819, 0.000541
1000, 0.000451, 0.262046, 0.000607
1000, 0.000409, 0.254595, 0.000530
1000, 0.000378, 0.374181, 0.000531
1000, 0.000382, 0.365200, 0.000544
1000, 0.000377, 0.397287, 0.000593
1000, 0.000414, 0.307150, 0.000532
1000, 0.000370, 0.351230, 0.000535
1000, 0.000380, 0.288718, 0.000534
1000, 0.000380, 0.348231, 0.000537
1000, 0.000381, 0.272076, 0.000600
1000, 0.000426, 0.288836, 0.000537
1000, 0.000394, 0.344520, 0.000555
1000, 0.000393, 0.404302, 0.000584
10000, 0.005375, 0.797499, 0.005469
10000, 0.004951, 1.264838, 0.004974
10000, 0.004761, 0.785711, 0.005521
10000, 0.005236, 1.017309, 0.005437
10000, 0.005451, 1.407923, 0.004923
10000, 0.004750, 0.622588, 0.004906
10000, 0.004842, 1.418078, 0.005489
10000, 0.005453, 0.352857, 0.004871
10000, 0.004883, 0.725455, 0.005018
10000, 0.004964, 1.178376, 0.004968
10000, 0.004808, 1.615105, 0.004938
10000, 0.004768, 0.585532, 0.005483
10000, 0.005353, 0.504282, 0.005423
10000, 0.004817, 0.948410, 0.005493
10000, 0.005336, 1.415690, 0.004908
10000, 0.004874, 0.830738, 0.004916
10000, 0.004737, 0.615135, 0.004914
10000, 0.004944, 1.867787, 0.004935
10000, 0.004676, 1.127896, 0.004972
10000, 0.004806, 1.432457, 0.004901
10000, 0.004524, 1.141817, 0.005463
10000, 0.005576, 0.936588, 0.005468
10000, 0.005378, 1.107449, 0.004980
10000, 0.004823, 1.048362, 0.005597
10000, 0.005070, 0.785848, 0.005559
10000, 0.005295, 0.638213, 0.004934
10000, 0.004822, 1.250408, 0.004947
10000, 0.004821, 1.298287, 0.004922
10000, 0.005067, 1.248519, 0.005015
10000, 0.005361, 0.753503, 0.004954
10000, 0.004869, 1.471207, 0.004943
10000, 0.004833, 1.577820, 0.004954
10000, 0.005005, 1.397370, 0.004943
10000, 0.004826, 0.702861, 0.004939
10000, 0.004846, 1.829954, 0.004933
10000, 0.004627, 1.143688, 0.005506
10000, 0.004818, 0.998578, 0.004953
10000, 0.004919, 1.446229, 0.004930
10000, 0.004782, 0.939516, 0.004954
10000, 0.004804, 1.004053, 0.004939
10000, 0.004877, 1.199260, 0.004964
10000, 0.004751, 1.480143, 0.005179
10000, 0.004956, 0.540622, 0.005454
10000, 0.005578, 0.490785, 0.004972
10000, 0.004809, 0.569035, 0.004942
10000, 0.004880, 1.281970, 0.005483
10000, 0.005558, 0.603663, 0.005019
10000, 0.004973, 1.180473, 0.004948
10000, 0.004769, 0.723005, 0.005450
10000, 0.004847, 1.112138, 0.005482
10000, 0.004911, 1.342828, 0.005468
10000, 0.005417, 0.717260, 0.004976
10000, 0.004904, 0.557869, 0.004969
10000, 0.004911, 0.481484, 0.004979
10000, 0.004868, 1.215435, 0.005497
10000, 0.004793, 1.117555, 0.004949
10000, 0.004732, 1.828129, 0.005585
10000, 0.005395, 0.900467, 0.005510
10000, 0.005492, 1.183039, 0.004888
10000, 0.004795, 1.427509, 0.005057
10000, 0.004941, 1.180633, 0.004942
10000, 0.004703, 1.359813, 0.004902
10000, 0.005076, 1.225764, 0.004951
10000, 0.004704, 0.867755, 0.004934
10000, 0.004801, 0.986210, 0.004912
10000, 0.004795, 1.743125, 0.005601
10000, 0.005423, 1.252290, 0.004918
10000, 0.004781, 1.247090, 0.005513
10000, 0.005355, 1.119371, 0.005502
10000, 0.004898, 0.745534, 0.004954
10000, 0.004876, 1.651492, 0.004934
10000, 0.004731, 1.087030, 0.004918
10000, 0.004874, 1.685948, 0.004962
10000, 0.004771, 1.076430, 0.005515
10000, 0.005331, 1.612582, 0.005459
10000, 0.005321, 1.376842, 0.005522
10000, 0.005483, 1.300580, 0.005002
10000, 0.004548, 1.725598, 0.005482
10000, 0.005089, 0.955097, 0.005548
10000, 0.005458, 0.769440, 0.004916
10000, 0.004837, 1.669026, 0.005531
10000, 0.005358, 0.743993, 0.004942
10000, 0.004876, 1.009383, 0.004983
10000, 0.004836, 0.586411, 0.004926
10000, 0.004855, 1.058326, 0.004961
10000, 0.004780, 1.195568, 0.004943
10000, 0.004823, 1.211167, 0.004953
10000, 0.004811, 1.631456, 0.005548
10000, 0.005383, 1.615949, 0.004974
10000, 0.004859, 0.457429, 0.004948
10000, 0.004824, 0.494673, 0.005708
10000, 0.005549, 0.564432, 0.005007
10000, 0.004968, 0.574378, 0.004913
10000, 0.004782, 1.429880, 0.005037
10000, 0.004593, 1.205150, 0.005130
10000, 0.005423, 1.040211, 0.005468
10000, 0.005270, 1.071092, 0.005443
10000, 0.005387, 1.263823, 0.004950
10000, 0.004632, 0.858157, 0.004931
10000, 0.004899, 0.494096, 0.005052
100000, 0.054509, 2.204212, 0.061043
100000, 0.050545, 2.273961, 0.058967
100000, 0.065279, 1.831622, 0.055150
100000, 0.061708, 1.649803, 0.055900
100000, 0.050728, 0.963965, 0.055702
100000, 0.051191, 0.790221, 0.058882
100000, 0.053699, 1.611393, 0.057361
100000, 0.060790, 0.784158, 0.060586
100000, 0.054449, 1.207296, 0.055064
100000, 0.051668, 0.712487, 0.064381
100000, 0.062196, 0.512229, 0.056639
100000, 0.053929, 1.276157, 0.065758
100000, 0.064035, 0.773754, 0.055234
100000, 0.065643, 0.788179, 0.055391
100000, 0.049165, 1.653555, 0.055905
100000, 0.050242, 1.425879, 0.055108
100000, 0.048983, 1.516605, 0.056139
100000, 0.062356, 1.275217, 0.059832
100000, 0.051272, 1.424022, 0.055026
100000, 0.049263, 1.731827, 0.059405
100000, 0.052227, 1.322069, 0.065803
100000, 0.055161, 1.143127, 0.056228
100000, 0.051788, 1.686869, 0.062779
100000, 0.061355, 1.241126, 0.064169
100000, 0.064887, 1.093232, 0.055583
100000, 0.050080, 0.895936, 0.056088
100000, 0.049415, 1.713139, 0.063955
100000, 0.052204, 0.612180, 0.055707
100000, 0.049841, 1.431903, 0.055619
100000, 0.048812, 1.935658, 0.060343
100000, 0.050740, 0.984009, 0.062937
100000, 0.064143, 2.050481, 0.055598
100000, 0.051665, 1.823819, 0.056589
100000, 0.049979, 0.591779, 0.056142
100000, 0.049539, 1.677305, 0.057105
100000, 0.050554, 1.677444, 0.054803
100000, 0.049413, 1.813677, 0.054868
100000, 0.049284, 0.519684, 0.056798
100000, 0.065406, 0.701856, 0.054904
100000, 0.050315, 1.423118, 0.054679
100000, 0.050909, 0.591954, 0.065645
100000, 0.055782, 1.120506, 0.055634
100000, 0.051781, 1.586685, 0.062734
100000, 0.062102, 1.577643, 0.055407
100000, 0.050847, 1.317384, 0.055558
100000, 0.050195, 1.285229, 0.065943
100000, 0.056566, 1.679926, 0.055372
100000, 0.049001, 1.102721, 0.064090
100000, 0.052486, 0.619473, 0.055808
100000, 0.049174, 1.937877, 0.064235
100000, 0.067217, 0.966277, 0.055410
100000, 0.065797, 0.961650, 0.064876
100000, 0.054815, 1.584818, 0.055753
100000, 0.051298, 1.820430, 0.060359
100000, 0.053135, 1.744711, 0.063261
100000, 0.063894, 1.205772, 0.054978
100000, 0.053685, 1.714337, 0.054794
100000, 0.050757, 1.055569, 0.055098
100000, 0.052969, 0.870812, 0.055142
100000, 0.052114, 1.636471, 0.055503
100000, 0.049397, 1.155629, 0.055311
100000, 0.058254, 1.204941, 0.054749
100000, 0.049591, 1.384117, 0.055589
100000, 0.049614, 1.201045, 0.064225
100000, 0.054089, 1.303250, 0.061648
100000, 0.064209, 0.852313, 0.058745
100000, 0.065376, 1.641504, 0.054622
100000, 0.049663, 1.674785, 0.065834
100000, 0.055396, 1.614396, 0.055207
100000, 0.049543, 1.090518, 0.060477
100000, 0.064472, 0.683884, 0.055673
100000, 0.049032, 1.310266, 0.056452
100000, 0.051433, 1.169934, 0.065733
100000, 0.059847, 0.620891, 0.056049
100000, 0.050082, 0.833486, 0.055546
100000, 0.051248, 1.579275, 0.054627
100000, 0.049729, 1.300206, 0.055002
100000, 0.050085, 1.770211, 0.055372
100000, 0.049818, 1.965736, 0.054928
100000, 0.049149, 1.517109, 0.054876
100000, 0.051004, 1.127550, 0.056743
100000, 0.052176, 1.126273, 0.055015
100000, 0.049633, 1.807413, 0.054858
100000, 0.050002, 2.005066, 0.054458
100000, 0.057703, 1.027080, 0.060926
100000, 0.051462, 1.635801, 0.054630
100000, 0.049951, 0.795466, 0.055561
100000, 0.049512, 1.139977, 0.064221
100000, 0.061376, 1.511625, 0.055581
100000, 0.053426, 1.066020, 0.055075
100000, 0.051586, 1.019852, 0.066807
100000, 0.065366, 1.834954, 0.054612
100000, 0.059856, 1.076410, 0.063508
100000, 0.057127, 1.680043, 0.054582
100000, 0.063508, 0.535598, 0.059238
100000, 0.050344, 1.605016, 0.054964
100000, 0.049832, 1.657543, 0.059738
100000, 0.062492, 1.053161, 0.056367
100000, 0.052986, 0.547412, 0.055575
100000, 0.064405, 0.419333, 0.065805
1000000, 0.652167, 0.969771, 0.667963
1000000, 0.675795, 1.181251, 0.657504
1000000, 0.643965, 1.029242, 0.664834
1000000, 0.652858, 0.963200, 0.650263
1000000, 0.651464, 1.750309, 0.642583
1000000, 0.644955, 1.294647, 0.647018
1000000, 0.696921, 0.941187, 0.638349
1000000, 0.650387, 1.008533, 0.692915
1000000, 0.674907, 0.901868, 0.667832
1000000, 0.691920, 1.089436, 0.665446
1000000, 0.641039, 0.792996, 0.689219
1000000, 0.681856, 1.224060, 0.650678
1000000, 0.691059, 1.201997, 0.650204
1000000, 0.692394, 1.558613, 0.638911
1000000, 0.659720, 1.805336, 0.656821
1000000, 0.678249, 1.135830, 0.654721
1000000, 0.658071, 1.365456, 0.658310
1000000, 0.702358, 1.727616, 0.648427
1000000, 0.657301, 1.546927, 0.732359
1000000, 0.694138, 1.576030, 0.635277
1000000, 0.700386, 0.983873, 0.659252
1000000, 0.662561, 1.767218, 0.653101
1000000, 0.652084, 0.956931, 0.647919
1000000, 0.654980, 1.727951, 0.632647
1000000, 0.665199, 1.586215, 0.650118
1000000, 0.671295, 0.923478, 0.680920
1000000, 0.668479, 1.221566, 0.651156
1000000, 0.651400, 1.742219, 0.665721
1000000, 0.679118, 0.867618, 0.680705
1000000, 0.665496, 0.972156, 0.659712
1000000, 0.655697, 0.879329, 0.678464
1000000, 0.657421, 1.804725, 0.655495
1000000, 0.652691, 1.611282, 0.632539
1000000, 0.664751, 0.953926, 0.662897
1000000, 0.645760, 1.050010, 0.678839
1000000, 0.663091, 1.118874, 0.686928
1000000, 0.697093, 2.029726, 0.673127
1000000, 0.685380, 1.142783, 0.689316
1000000, 0.667725, 0.904577, 0.662039
1000000, 0.651566, 1.193128, 0.662125
1000000, 0.642067, 0.873088, 0.641177
1000000, 0.735431, 1.597939, 0.646746
1000000, 0.670307, 0.979908, 0.657572
1000000, 0.651276, 0.954377, 0.659595
1000000, 0.674125, 0.975122, 0.647138
1000000, 0.660199, 1.352519, 0.668919
1000000, 0.708268, 0.910087, 0.653935
1000000, 0.672779, 0.952687, 0.650364
1000000, 0.657049, 0.840309, 0.656071
1000000, 0.679701, 1.083380, 0.633904
1000000, 0.690168, 0.932031, 0.668731
1000000, 0.639978, 0.881851, 0.659042
1000000, 0.680250, 0.873038, 0.655323
1000000, 0.666856, 0.854518, 0.662256
1000000, 0.679329, 0.789805, 0.697877
1000000, 0.645852, 0.931356, 0.665297
1000000, 0.690792, 1.271710, 0.694885
1000000, 0.669379, 1.579447, 0.680180
1000000, 0.674668, 0.999844, 0.679848
1000000, 0.664477, 1.151466, 0.693608
1000000, 0.687350, 2.134665, 0.658192
1000000, 0.711872, 0.984985, 0.661872
1000000, 0.680474, 0.799657, 0.649660
1000000, 0.668998, 0.939371, 0.693991
1000000, 0.666319, 2.176479, 0.696984
1000000, 0.725065, 0.899519, 0.663663
1000000, 0.648302, 0.898757, 0.687464
1000000, 0.642779, 1.463422, 0.662212
1000000, 0.668811, 0.982578, 0.692652
1000000, 0.674925, 2.178139, 0.660727
1000000, 0.653359, 1.050032, 0.689519
1000000, 0.643752, 1.000498, 0.645921
1000000, 0.677102, 1.094314, 0.665986
1000000, 0.676058, 1.336382, 0.675792
1000000, 0.648199, 1.729239, 0.648058
1000000, 0.671488, 1.008225, 0.656233
1000000, 0.679060, 0.926666, 0.672660
1000000, 0.652356, 0.837983, 0.653769
1000000, 0.678019, 1.252824, 0.654930
1000000, 0.680022, 2.384606, 0.687285
1000000, 0.672408, 1.854022, 0.655292
1000000, 0.655524, 0.887649, 0.660756
1000000, 0.641999, 0.776483, 0.647839
1000000, 0.681463, 0.974309, 0.665815
1000000, 0.650896, 0.881766, 0.642319
1000000, 0.685216, 0.863597, 0.688696
1000000, 0.705704, 1.896631, 0.646288
1000000, 0.685646, 1.074650, 0.716002
1000000, 0.732505, 0.984912, 0.668063
1000000, 0.679598, 2.256741, 0.687006
1000000, 0.655696, 0.991511, 0.669481
1000000, 0.659131, 0.982167, 0.663651
1000000, 0.707912, 1.018575, 0.646040
1000000, 0.671965, 0.817234, 0.644841
1000000, 0.685758, 1.106483, 0.686384
1000000, 0.688310, 0.825820, 0.652927
1000000, 0.670845, 1.627345, 0.649186
1000000, 0.651263, 1.178063, 0.655767
1000000, 0.679782, 0.882990, 0.669253
1000000, 0.648096, 1.268646, 0.643866
