Size, Seq, Par, Libc
100, 0.000033, 0.146579, 0.000044
100, 0.000031, 0.085491, 0.000045
100, 0.000031, 0.090248, 0.000050
100, 0.000032, 0.081851, 0.000043
100, 0.000032, 0.057091, 0.000042
100, 0.000031, 0.066491, 0.000043
100, 0.000033, 0.124535, 0.000047
100, 0.000033, 0.093600, 0.000043
100, 0.000033, 0.096636, 0.000041
100, 0.000033, 0.103183, 0.000042
1000, 0.000421, 0.178296, 0.000601
1000, 0.000422, 0.260422, 0.000587
1000, 0.000419, 0.201282, 0.000601
1000, 0.000419, 0.200456, 0.000596
1000, 0.000417, 0.228042, 0.000604
1000, 0.000424, 0.322135, 0.000599
1000, 0.000415, 0.262906, 0.000599
1000, 0.000412, 0.409684, 0.000596
1000, 0.000411, 0.445090, 0.000606
1000, 0.000428, 0.454459, 0.000586
10000, 0.004933, 1.696428, 0.004946
10000, 0.004807, 0.986057, 0.005457
10000, 0.005606, 0.975764, 0.004966
10000, 0.005221, 0.938527, 0.004989
10000, 0.004766, 1.475837, 0.005451
10000, 0.005446, 0.961305, 0.004899
10000, 0.004828, 0.923162, 0.004947
10000, 0.004908, 0.711951, 0.004949
10000, 0.004926, 1.170215, 0.005480
10000, 0.005398, 1.372922, 0.004942
1000000, 0.613569, 1.111711, 0.617951
1000000, 0.606734, 2.480093, 0.603509
1000000, 0.667794, 1.951308, 0.610190
1000000, 0.610595, 0.874173, 0.609085
1000000, 0.610645, 1.614054, 0.614755
1000000, 0.605251, 0.869034, 0.611818
1000000, 0.622722, 1.724611, 0.638061
1000000, 0.618304, 1.343925, 0.612910
1000000, 0.606449, 1.659110, 0.615535
1000000, 0.616792, 1.918671, 0.661721
3500000, 2.495308, 2.335468, 2.330916
3500000, 2.386610, 2.147187, 2.346623
3500000, 2.438124, 2.530183, 2.385019
3500000, 2.398337, 2.197843, 2.423703
3500000, 2.657230, 1.942437, 2.312069
3500000, 2.354352, 2.265070, 2.319763
3500000, 2.436590, 1.890271, 2.349240
3500000, 2.366864, 2.115432, 2.313073
3500000, 2.433340, 2.488756, 2.310621
3500000, 2.391882, 1.907519, 2.310697
5000000, 3.577967, 2.782337, 3.365070
5000000, 3.552603, 2.875007, 3.604354
5000000, 3.554649, 3.054625, 3.521474
5000000, 3.556065, 2.696226, 3.482581
5000000, 3.589667, 2.679036, 3.557898
5000000, 3.550259, 2.704345, 3.515911
5000000, 3.510549, 2.783393, 3.632912
5000000, 3.562559, 3.251718, 3.659070
5000000, 3.495182, 2.630213, 3.543374
5000000, 3.520146, 2.823576, 3.537271
